Etiqueta,Cultivo,Descripcion,Cosecha,Transporte,Ventas,Mano de Obra,Semillas,Agroquimicos,Otros,Alquiler,Administraci—n
Ma’z1,MAIZ,MAIZ TARDIO-1 Dic - 120N - 4.5pl,0.06,0.16,0.06,28.4,105.3,140.3,1,328.88,36.8
Ma’z2,MAIZ,MAIZ TARDIO-30 Nov - 130N - 5.5pl,0.06,0.16,0.06,28.4,105.3,140.3,1,328.88,36.8
Ma’z3,MAIZ,MAIZ TARDIO-30 Nov - 130N - 6pl,0.06,0.16,0.06,28.4,105.3,140.3,1,328.88,36.8
Ma’z4,MAIZ,MAIZ TARDIO-5 Dic - 120N - 5.5pl,0.06,0.16,0.06,28.4,105.3,140.3,1,328.88,36.8
Ma’z5,MAIZ,MAIZ TEMPRANO-1 Oct - 140N - 6.5pl,0.06,0.16,0.06,30.44,110.3,170.3,1,328.88,36.8
Ma’z6,MAIZ,MAIZ TEMPRANO-15 Oct - 130N - 5.5pl,0.06,0.16,0.06,30.44,110.3,170.3,1,328.88,36.8
Ma’z7,MAIZ,MAIZ TEMPRANO-25 Sept - 150N - 6.5pl,0.06,0.16,0.06,30.44,110.3,170.3,1,328.88,36.8
Ma’z8,MAIZ,MAIZ TEMPRANO-25 Sept - 150N - 7pl,0.06,0.16,0.06,30.44,110.3,170.3,1,328.88,36.8
Soja1,SOJA,SOJA-III Largo - 10 Nov,0.06,0.16,0.05,50.75,32.3,76.15,11.07,328.88,36.8
Soja2,SOJA,SOJA-III Largo - 15 Nov,0.06,0.16,0.05,50.75,32.3,76.15,11.07,328.88,36.8
Soja3,SOJA,SOJA-III Largo - 15 Oct,0.06,0.16,0.05,50.75,32.3,76.15,11.07,328.88,36.8
Soja4,SOJA,SOJA-III Largo - 20 Oct,0.06,0.16,0.05,50.75,36.1,76.15,11.07,328.88,36.8
Soja5,SOJA,SOJA-IV Largo - 10 Nov,0.06,0.16,0.05,50.75,36.1,76.15,11.07,328.88,36.8
Soja6,SOJA,SOJA-IV Largo - 15 Nov,0.06,0.16,0.05,50.75,36.1,76.15,11.07,328.88,36.8
Soja7,SOJA,SOJA-IV Largo - 20 Oct,0.06,0.16,0.05,50.75,36.1,76.15,11.07,328.88,36.8
Soja8,SOJA,SOJA-IV Medio - 10 Nov,0.06,0.16,0.05,50.75,36.1,76.15,11.07,328.88,36.8
Trigo1,TRIGO,TRIGO-Intermedio-Corto - 25 Jul - 140N,0.07,0.16,0.05,33.48,30.22,131.5,3.6,328.88,36.8
Trigo2,TRIGO,TRIGO-Intermedio-Corto - 25 Jul - 160N,0.07,0.16,0.05,33.48,30.22,131.5,3.6,328.88,36.8
Trigo3,TRIGO,TRIGO-Intermedio-Corto - 25 Jun - 140N,0.07,0.16,0.05,33.48,30.22,131.5,3.6,328.88,36.8
Trigo4,TRIGO,TRIGO-Intermedio-Largo - 1 Jul - 160N,0.07,0.16,0.05,33.48,28.4,171,3.6,328.88,36.8
Trigo5,TRIGO,TRIGO-Intermedio-Largo - 1 Jun - 140N,0.07,0.16,0.05,33.48,28.4,171,3.6,328.88,36.8
Trigo6,TRIGO,TRIGO-Intermedio-Largo - 25 Jun - 140N,0.07,0.16,0.05,33.48,28.4,171,3.6,328.88,36.8
Trigo7,TRIGO,TRIGO-Intermedio-Largo - 5 Jun - 140N,0.07,0.16,0.05,33.48,28.4,171,3.6,328.88,36.8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,